店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
完全個室＆特選日本酒を揃えた焼鳥居酒屋 鶏のまるよし 池袋店,050-5484-3514,,東京都,豊島区南池袋,1-20-11,6F,https://ghwu003.gorp.jp/,True
博多料理と野菜巻き 完全個室 なまいき 池袋,050-5493-8540,,東京都,豊島区南池袋,1-20-11,池袋第5ビル4F,https://ghcz606.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐ 池袋西口店,050-5486-0715,,東京都,豊島区西池袋,1-21-1,YKDビル3F,https://ghcz606.gorp.jp/,True
完全個室 本格和食と海鮮居酒屋 魚銀 池袋本店,050-5488-2592,,東京都,豊島区南池袋,1-20-11,5F,https://ge0m114.gorp.jp/,True
4種の牛タン＆おでん食べ放題 完全個室居酒屋 やまと 池袋,050-5493-8491,,東京都,豊島区南池袋,1-23-11,池袋ブロンズビル3F,https://ghe8006.gorp.jp/,True
串焼きと野菜巻き 完全個室居酒屋 串治郎 池袋店,050-5488-3784,,東京都,豊島区南池袋,1-27-8,大庄池袋東口ビル3F,https://gg93508.gorp.jp/,True
肉バル Bar＆Grill motto 池袋,050-5484-8051,,東京都,豊島区東池袋,1-39-20,慶太ビル2F,https://ge5a800.gorp.jp/,True
2200円食べ飲み放題 個室居酒屋 楽食 池袋東口店,050-5488-9638,,東京都,豊島区東池袋,1-5-7,LABI1 LIFE SELECT 池袋7F,https://gh04700.gorp.jp/,True
鹿児島県霧島市 塚田農場 池袋西口公園店,050-5486-4674,,東京都,豊島区西池袋,1-10-8,サン・グロウビル2F,https://g753363.gorp.jp/,True
全席個室 焼き鳥と地鶏居酒屋 食べ飲み放題 鳥天國 池袋本店,050-5488-3890,,東京都,豊島区南池袋,1-20-11,5F,https://gg0v004.gorp.jp/,True
2000円 食べ放題飲み放題 居酒屋 おすすめ屋 池袋店,050-5486-8712,,東京都,豊島区南池袋,2-26-10,アクティオーレ南池袋8F,https://gf8v401.gorp.jp/,True
卓上レモンサワー×1980円全品食べ放題 牛若丸 池袋本店,050-5493-8489,,東京都,豊島区南池袋,1-23-11,池袋ブロンズビル3F,https://ghe8007.gorp.jp/,True
【7／1OPEN】和食個室居酒屋 ゆたかや商店　池袋ヤマダ電気7階,050-5487-4659,,東京都,豊島区東池袋,1-5-7,LABI1LIFE SELECT池袋7F,https://gh04702.gorp.jp/,True
肉寿司＆シュラスコ食べ放題 エルビーノ 池袋店,050-5492-5527,,東京都,豊島区東池袋,1-2-4,コジマビルB2,https://ghkc400.gorp.jp/,True
夜景×和モダン つるや 池袋西口店,050-5484-8666,,東京都,豊島区西池袋,1-13-5,シーガルハウス4F,https://gh96902.gorp.jp/,True
すし土風炉 池袋東口店,050-5484-9494,,東京都,豊島区東池袋,1-41-4,池袋とうきゅうビルB1,https://gh96902.gorp.jp/,True
299円均一個室居酒屋 炭火焼き鳥 九十九 池袋東口店,050-5486-8211,,東京都,豊島区南池袋,1-27-8,大庄池袋東口ビル5F,https://ghgg303.gorp.jp/,True
大人の隠れ家個室 土間土間 池袋西口駅前店,050-5485-7851,,東京都,豊島区西池袋,1-13-1,タグリート池袋2 3F,https://doma-doma-ikebukuro-nishi.gorp.jp/,True
音音 池袋店,050-5484-7260,,東京都,豊島区南池袋,1-19-5,MI PLAZA 5F,https://doma-doma-ikebukuro-nishi.gorp.jp/,True
野菜巻き串と肉料理の店 まんさん 池袋西口,050-5486-5742,,東京都,豊島区西池袋,3-23-8,MARUビル2F,https://mansun.gorp.jp/,True
くいもの屋わん 池袋西口公園前店,050-5485-6398,,東京都,豊島区西池袋,1-10-8,サングロウビル4F,https://wan-ikebukuronishiguchi.gorp.jp/,True
青龍門 池袋店,050-5484-3885,,東京都,豊島区南池袋,1-19-6,オリックス池袋ビルB1,https://wan-ikebukuronishiguchi.gorp.jp/,True
魚と巻き串のお店 優男 まお  池袋本館,050-5487-9804,,東京都,豊島区西池袋,1-35-4,,https://gegw302.gorp.jp/,True
UP 池袋西口店,050-5487-1493,,東京都,豊島区西池袋,1-28-1,7F,https://up-ikebukuronishiguchi.gorp.jp/,True
北海道直送鮮魚と日本酒 完全個室居酒屋 あばれ鮮魚 池袋店,050-5484-3624,,東京都,豊島区南池袋,1-23-11,ブロンズビル4F,https://gcd1117.gorp.jp/,True
【完全個室完備】炭火焼き 牛タン酒場 いけたん 池袋店,050-5487-7813,,東京都,豊島区東池袋,1-40-7,TC76東池袋一丁目ビル5F,https://gj5d600.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐ 池袋西口店,050-5486-0715,,東京都,豊島区西池袋,1-21-1,YKDビル3F,https://gj5d600.gorp.jp/,True
完全個室 本格和食と海鮮居酒屋 魚銀 池袋本店,050-5488-2592,,東京都,豊島区南池袋,1-20-11,5F,https://ge0m114.gorp.jp/,True
4種の牛タン＆おでん食べ放題 完全個室居酒屋 やまと 池袋,050-5493-8491,,東京都,豊島区南池袋,1-23-11,池袋ブロンズビル3F,https://ghe8006.gorp.jp/,True
全席個室居酒屋全120種食べ飲み放題 鳥庵 池袋西口店,03-6369-8092,,東京都,豊島区西池袋,1-36-4,SIコンソートビル5F,https://gegt403.gorp.jp/,True
肉バル Bar＆Grill motto 池袋,050-5484-8051,,東京都,豊島区東池袋,1-39-20,慶太ビル2F,https://ge5a800.gorp.jp/,True
2200円食べ飲み放題 個室居酒屋 楽食 池袋東口店,050-5488-9638,,東京都,豊島区東池袋,1-5-7,LABI1 LIFE SELECT 池袋7F,https://gh04700.gorp.jp/,True
鹿児島県霧島市 塚田農場 池袋西口公園店,050-5486-4674,,東京都,豊島区西池袋,1-10-8,サン・グロウビル2F,https://g753363.gorp.jp/,True
全席個室 焼き鳥と地鶏居酒屋 食べ飲み放題 鳥天國 池袋本店,050-5488-3890,,東京都,豊島区南池袋,1-20-11,5F,https://gg0v004.gorp.jp/,True
2000円 食べ放題飲み放題 居酒屋 おすすめ屋 池袋店,050-5486-8712,,東京都,豊島区南池袋,2-26-10,アクティオーレ南池袋8F,https://gf8v401.gorp.jp/,True
卓上レモンサワー×1980円全品食べ放題 牛若丸 池袋本店,050-5493-8489,,東京都,豊島区南池袋,1-23-11,池袋ブロンズビル3F,https://ghe8007.gorp.jp/,True
【7／1OPEN】和食個室居酒屋 ゆたかや商店　池袋ヤマダ電気7階,050-5487-4659,,東京都,豊島区東池袋,1-5-7,LABI1LIFE SELECT池袋7F,https://gh04702.gorp.jp/,True
肉寿司＆シュラスコ食べ放題 エルビーノ 池袋店,050-5492-5527,,東京都,豊島区東池袋,1-2-4,コジマビルB2,https://ghkc400.gorp.jp/,True
夜景×和モダン つるや 池袋西口店,050-5484-8666,,東京都,豊島区西池袋,1-13-5,シーガルハウス4F,https://gh96902.gorp.jp/,True
すし土風炉 池袋東口店,050-5484-9494,,東京都,豊島区東池袋,1-41-4,池袋とうきゅうビルB1,https://gh96902.gorp.jp/,True
299円均一個室居酒屋 炭火焼き鳥 九十九 池袋東口店,050-5486-8211,,東京都,豊島区南池袋,1-27-8,大庄池袋東口ビル5F,https://ghgg303.gorp.jp/,True
大人の隠れ家個室 土間土間 池袋西口駅前店,050-5485-7851,,東京都,豊島区西池袋,1-13-1,タグリート池袋2 3F,https://doma-doma-ikebukuro-nishi.gorp.jp/,True
音音 池袋店,050-5484-7260,,東京都,豊島区南池袋,1-19-5,MI PLAZA 5F,https://doma-doma-ikebukuro-nishi.gorp.jp/,True
野菜巻き串と肉料理の店 まんさん 池袋西口,050-5486-5742,,東京都,豊島区西池袋,3-23-8,MARUビル2F,https://mansun.gorp.jp/,True
くいもの屋わん 池袋西口公園前店,050-5485-6398,,東京都,豊島区西池袋,1-10-8,サングロウビル4F,https://wan-ikebukuronishiguchi.gorp.jp/,True
青龍門 池袋店,050-5484-3885,,東京都,豊島区南池袋,1-19-6,オリックス池袋ビルB1,https://wan-ikebukuronishiguchi.gorp.jp/,True
魚と巻き串のお店 優男 まお  池袋本館,050-5487-9804,,東京都,豊島区西池袋,1-35-4,,https://gegw302.gorp.jp/,True
全席個室 楽蔵‐RAKUZO‐ 池袋西口店,050-5486-0715,,東京都,豊島区西池袋,1-21-1,YKDビル3F,https://gegw302.gorp.jp/,True
北海道直送鮮魚と日本酒 完全個室居酒屋 あばれ鮮魚 池袋店,050-5484-3624,,東京都,豊島区南池袋,1-23-11,ブロンズビル4F,https://gcd1117.gorp.jp/,True
肉料理×沖縄居酒屋 78ステーキ 池袋本店,050-5494-3414,,東京都,豊島区西池袋,1-40-5,名取ビル3F,https://gh7h400.gorp.jp/,True
